country_iso3,t,gdp,gdpcap,pop,source
TON,2012,471122971.305043,4384.17058724217,107460.0,WB
TON,2013,451788498.263614,4219.24670113014,107078.0,WB
TON,2014,440997738.014078,4136.59013792529,106609.0,WB
TON,2015,437525514.240726,4123.90323993332,106095.0,WB
TON,2016,420828262.317922,3987.98626206287,105524.0,WB
TON,2017,459976850.268529,4365.92932788383,105356.0,WB
TON,2018,493530783.00463,4675.04791274385,105567.0,WB
TON,2019,506031238.979937,4788.83342304684,105669.0,WB
TON,2020,506571467.895978,4792.35854741522,105704.0,WB
TON,2021,519306352.78704,4922.80171378368,105490.0,WB
TON,2022,556514555.400882,5298.01941509951,105042.0,WB
TON,2023,591139749.44287,5651.59373063157,104597.0,WB
TON,2024,,,104175.0,WB
TON,2025,555284022.4499364,5087.5277724584985,109146.1407750902,OptionA
TON,2030,646235715.7822535,5882.362527585017,109859.89264547474,OptionA
TON,2035,741974340.3425874,6747.067354763344,109969.9026746432,OptionA
TON,2040,846329441.1133512,7742.807053094346,109305.24747806069,OptionA
TON,2045,966960108.0593716,8960.466504968417,107914.03634210447,OptionA
TON,2050,1108653272.408666,10476.510237197825,105822.76419415783,OptionA
TON,2055,1272366320.4068367,12334.37777561559,103156.101065936,OptionA
TON,2060,1444695844.6154375,14409.966130759562,100256.71340972724,OptionA
TON,2065,1635215707.4905014,16711.00608799109,97852.61874002936,OptionA
TON,2070,1841053750.29522,19205.433904616,95861.0859530086,OptionA
TTO,2012,27147349937.4689,20332.1389531925,1335194.0,WB
TTO,2013,28560537057.1548,21304.9777496628,1340557.0,WB
TTO,2014,29474180005.1333,21908.3014555644,1345343.0,WB
TTO,2015,26841141793.2143,19887.2327716498,1349667.0,WB
TTO,2016,23624322192.6274,17449.1538801956,1353895.0,WB
TTO,2017,23830750900.6899,17566.0999700656,1356633.0,WB
TTO,2018,23883058083.2171,17571.498737278,1359193.0,WB
TTO,2019,23477745791.6977,17212.6128892163,1363985.0,WB
TTO,2020,20888515184.2239,15283.6270531554,1366725.0,WB
TTO,2021,24222963262.7213,17712.5674104655,1367558.0,WB
TTO,2022,28341164301.126,20750.5202434652,1365805.0,WB
TTO,2023,25036993423.3664,18308.4536298575,1367510.0,WB
TTO,2024,25633544529.4849,18733.4110406494,1368333.0,WB
TTO,2025,34667359605.457596,25494.000200359405,1359824.2462149533,OptionA
TTO,2030,38049972982.03098,28198.57548184916,1349357.9846444004,OptionA
TTO,2035,41158081084.58924,30889.749577787956,1332418.735896292,OptionA
TTO,2040,43863688785.36582,33526.77793669615,1308318.051564257,OptionA
TTO,2045,45865725783.82798,35936.16987316313,1276310.9130914968,OptionA
TTO,2050,47137627053.45814,38123.16619539958,1236456.2484620272,OptionA
TTO,2055,48302463216.21438,40561.984740080305,1190830.8611063974,OptionA
TTO,2060,49627494538.87973,43467.09735802734,1141725.524713803,OptionA
TTO,2065,50902615811.724144,46634.345599069056,1091526.323738963,OptionA
TTO,2070,51846076753.50044,49815.54524776544,1040761.0013226962,OptionA
TUN,2012,47311401812.6733,4297.26782454273,11009647.0,WB
TUN,2013,48685446413.953,4369.79345826358,11141361.0,WB
TUN,2014,50271812920.612,4458.97895464547,11274288.0,WB
TUN,2015,45779494041.9295,4014.94773686432,11402264.0,WB
TUN,2016,44360072680.4476,3847.80354448809,11528674.0,WB
TUN,2017,42163530590.9462,3619.03247319953,11650498.0,WB
TUN,2018,42686504459.801,3628.10366464236,11765514.0,WB
TUN,2019,41905642418.825,3528.87213306798,11875081.0,WB
TUN,2020,42491780918.361,3548.65363663803,11974057.0,WB
TUN,2021,47073234359.1819,3906.93926319391,12048622.0,WB
TUN,2022,44929920092.7955,3707.29283414381,12119334.0,WB
TUN,2023,48205328303.3398,3951.11683376921,12200431.0,WB
TUN,2024,51332285656.5422,4181.13789301228,12277109.0,WB
TUN,2025,78440235347.59799,6364.855855412775,12323961.00233616,OptionA
TUN,2030,99251823971.87337,7843.676702966177,12653737.237071505,OptionA
TUN,2035,121990875959.87054,9464.392884200935,12889456.032992026,OptionA
TUN,2040,145991914880.7135,11179.97220035996,13058343.282464782,OptionA
TUN,2045,169936974963.1584,12906.555281554953,13166718.094487932,OptionA
TUN,2050,191912027764.6989,14527.179246792251,13210549.997658702,OptionA
TUN,2055,212413717539.60266,16110.51807861121,13184785.026970005,OptionA
TUN,2060,232249035222.21597,17756.936510128442,13079341.42185746,OptionA
TUN,2065,251986725810.66296,19540.43780201568,12895654.046434388,OptionA
TUN,2070,270263592632.27438,21360.889920154343,12652262.786920518,OptionA
TUR,2012,885327622479.052,11776.7593362033,75175827.0,WB
TUR,2013,962167643588.925,12635.5570016068,76147624.0,WB
TUR,2014,942343431928.654,12209.3862327674,77181884.0,WB
TUR,2015,865460050683.656,11064.6494504662,78218479.0,WB
TUR,2016,870818016909.84,10984.3643169061,79277962.0,WB
TUR,2017,863874522365.276,10756.3877677883,80312698.0,WB
TUR,2018,788356985773.667,9684.11819884721,81407204.0,WB
TUR,2019,775853144222.613,9395.23378001368,82579440.0,WB
TUR,2020,733628247119.077,8798.11791709313,83384680.0,WB
TUR,2021,839938668172.134,9981.76398411336,84147318.0,WB
TUR,2022,926097476913.818,10897.8397861365,84979913.0,WB
TUR,2023,1141242864657.45,13375.0947282864,85325965.0,WB
TUR,2024,1359123768774.12,15892.7157287241,85518661.0,WB
TUR,2025,1278034448419.372,14877.694714072628,85902720.34621702,OptionA
TUR,2030,1493394003049.0566,16759.155755597996,89109142.77708912,OptionA
TUR,2035,1715020906506.0854,18669.529276993777,91862032.5698026,OptionA
TUR,2040,1952582516023.2341,20735.527623536014,94166039.63368364,OptionA
TUR,2045,2198700813360.7173,22903.846063850528,95997013.21914482,OptionA
TUR,2050,2450951214746.75,25178.159268484746,97344336.7567613,OptionA
TUR,2055,2712897684547.6484,27637.22112640315,98161015.25329868,OptionA
TUR,2060,2981517993069.6963,30266.19166501082,98509849.7382634,OptionA
TUR,2065,3256781918015.955,33061.56228494363,98506594.75638592,OptionA
TUR,2070,3536053319536.084,36023.96283579964,98158365.74265088,OptionA
TUV,2012,39345579.4723758,3598.46163091053,10934.0,WB
TUV,2013,38615890.6320745,3510.21640142483,11001.0,WB
TUV,2014,38760982.6540096,3528.85858102782,10984.0,WB
TUV,2015,36811936.0824587,3357.83417700071,10963.0,WB
TUV,2016,41629064.2232388,3808.69755015909,10930.0,WB
TUV,2017,45276595.3533146,4165.66338700106,10869.0,WB
TUV,2018,48015259.8751356,4466.12034928245,10751.0,WB
TUV,2019,54123198.5662913,5115.13075950206,10581.0,WB
TUV,2020,51746594.3148543,4976.11254109571,10399.0,WB
TUV,2021,60196405.7138393,5905.08198095343,10194.0,WB
TUV,2022,59065982.0873657,5911.32727055301,9992.0,WB
TUV,2023,62280311.5852172,6344.7750188689,9816.0,WB
TUV,2024,,,9646.0,WB
TZA,2012,39650394362.9287,861.969909667969,47374260.0,WB
TZA,2013,45648857242.315,963.05712890625,48824128.0,WB
TZA,2014,49986726460.6805,1022.74841308594,50351512.0,WB
TZA,2015,47413919817.124,939.127319335938,52020962.0,WB
TZA,2016,49774409374.4538,953.0107421875,53824013.0,WB
TZA,2017,53274884532.7886,986.674011230469,55652890.0,WB
TZA,2018,57003712892.0858,1023.10626220703,57437145.0,WB
TZA,2019,61026731925.9213,1063.32250976563,59174891.0,WB
TZA,2020,66068737786.0639,1117.41528320313,60972798.0,WB
TZA,2021,70655628147.8986,1159.85656738281,62830412.0,WB
TZA,2022,75749121842.9149,1207.52062988281,64711821.0,WB
TZA,2023,79030935627.0781,1224.00219726563,66617606.0,WB
TZA,2024,78844405385.2195,1186.71691894531,68560157.0,WB
TZA,2025,97031710022.1504,1460.2773160616105,66447454.16154677,OptionA
TZA,2030,136292730833.75883,1842.358806988015,73977300.35908552,OptionA
TZA,2035,187180296454.7663,2293.5512239766595,81611561.36300497,OptionA
TZA,2040,253386142400.55225,2839.050068537752,89250325.3847363,OptionA
TZA,2045,338770273899.21405,3507.293771456773,96590219.11885756,OptionA
TZA,2050,447516487898.77484,4320.255218936102,103585659.92519753,OptionA
TZA,2055,584142571231.5916,5309.648686543828,110015295.8729598,OptionA
TZA,2060,752629632328.0962,6497.728602517494,115829650.38528936,OptionA
TZA,2065,957605088288.0216,7896.985452401872,121262106.16188556,OptionA
TZA,2070,1202357209747.3909,9519.492123830494,126304764.38312145,OptionA
UGA,2012,27305915910.7877,795.222867553127,34337438.0,WB
UGA,2013,28915786516.6123,818.285427416713,35337042.0,WB
UGA,2014,32612397257.4458,896.054795546394,36395539.0,WB
UGA,2015,32387183730.1002,862.934610355811,37531446.0,WB
UGA,2016,29203988696.2626,752.696571725656,38799152.0,WB
UGA,2017,30744473841.424,765.218332297361,40177388.0,WB
UGA,2018,32927025619.6795,792.16570022814,41565831.0,WB
